Phenotype Name,Phenotype ID,"% of genes with the term in ""QueryGeneSet""","% of genes with the term in ""Background""",Fisher's Exact Test P-value,BH FDR corrected P-value,Bonferroni corrected P-value
embryonic/larval anus,FBbt:00001893,1.08% (1/93),0.03% (4/11801),0.038495098,1,1
embryonic/larval hindgut,FBbt:00001891,1.08% (1/93),0.1% (12/11801),0.097059922,1,1
embryonic/larval foregut,FBbt:00001862,1.08% (1/93),0.25% (29/11801),0.210047632,1,1
embryonic/larval salivary gland duct,FBbt:00001880,0.0% (0/93),0.01% (1/11801),1,1,1
primary lobe of embryonic/larval lymph gland,FBbt:00001669,1.08% (1/93),0.16% (19/11801),0.145400192,1,1
embryonic/larval heart,FBbt:00001675,0.0% (0/93),0.04% (5/11801),1,1,1
somatic cell of testis,FBbt:00006031,1.08% (1/93),0.69% (81/11801),0.47580628,1,1
germinal proliferation center,FBbt:00005259,1.08% (1/93),0.94% (111/11801),0.586592685,1,1
male fusome,FBbt:00007139,0.0% (0/93),0.08% (10/11801),1,1,1
testis sheath,FBbt:00004955,0.0% (0/93),0.05% (6/11801),1,1,1
male germline cyst,FBbt:00007136,0.0% (0/93),3.15% (372/11801),0.122536585,1,1
gonadal sheath muscle,FBbt:00003556,0.0% (0/93),0.03% (4/11801),1,1,1
temporary eclosion muscle,FBbt:00016665,0.0% (0/93),0.03% (4/11801),1,1,1
adult external metathorax,FBbt:00004620,0.0% (0/93),0.09% (11/11801),1,1,1
pleurum,FBbt:00004553,0.0% (0/93),0.28% (33/11801),1,1,1
adult external prothorax,FBbt:00004558,0.0% (0/93),0.23% (27/11801),1,1,1
head capsule,FBbt:00004482,1.08% (1/93),1.17% (138/11801),1,1,1
mouthpart,FBbt:00004520,0.0% (0/93),0.79% (93/11801),1,1,1
tergite,FBbt:00004476,1.08% (1/93),0.56% (66/11801),0.409866741,1,1
analia,FBbt:00004823,0.0% (0/93),0.18% (21/11801),1,1,1
metathoracic foramen,FBbt:00004629,0.0% (0/93),0.01% (1/11801),1,1,1
adult thoracic neuromere,FBbt:00111027,0.0% (0/93),0.01% (1/11801),1,1,1
adult oenocyte band,FBbt:00007317,0.0% (0/93),0.03% (4/11801),1,1,1
adult prothoracic sensillum,FBbt:00004247,1.08% (1/93),0.45% (53/11801),0.346125658,1,1
skeletal muscle of prothorax,FBbt:00003334,0.0% (0/93),0.01% (1/11801),1,1,1
remotor muscle,FBbt:00003310,0.0% (0/93),0.11% (13/11801),1,1,1
adult metathoracic sensillum,FBbt:00004407,0.0% (0/93),0.25% (30/11801),1,1,1
wing nerve,FBbt:00004080,0.0% (0/93),0.07% (8/11801),1,1,1
metathoracic bristle,FBbt:00004408,0.0% (0/93),0.08% (9/11801),1,1,1
head bristle,FBbt:00004115,0.0% (0/93),0.64% (75/11801),1,1,1
adult CNS glial cell,FBbt:00100499,0.0% (0/93),0.28% (33/11801),1,1,1
thoracico-abdominal ganglion,FBbt:00004052,0.0% (0/93),0.02% (2/11801),1,1,1
stomodeal ganglion,FBbt:00004047,0.0% (0/93),0.02% (2/11801),1,1,1
adult Leucokinin neuron of the central nervous system,FBbt:00110064,0.0% (0/93),0.01% (1/11801),1,1,1
proboscis muscle,FBbt:00003261,0.0% (0/93),0.01% (1/11801),1,1,1
adult DM6 lineage clone,FBbt:00050143,0.0% (0/93),0.09% (11/11801),1,1,1
adult ALl1 lineage neuron,FBbt:00050025,0.0% (0/93),0.1% (12/11801),1,1,1
large field neuron of the central complex,FBbt:00007515,0.0% (0/93),0.05% (6/11801),1,1,1
adult EBa1 lineage neuron,FBbt:00050138,0.0% (0/93),0.03% (3/11801),1,1,1
adult tritocerebrum,FBbt:00007147,0.0% (0/93),0.03% (3/11801),1,1,1
adult ALad1 lineage neuron,FBbt:00050096,1.08% (1/93),0.25% (30/11801),0.216239943,1,1
lobula plate tangential neuron,FBbt:00003907,0.0% (0/93),0.02% (2/11801),1,1,1
adult ALl1 lineage clone,FBbt:00050024,0.0% (0/93),0.1% (12/11801),1,1,1
adult SMPad2 lineage clone,FBbt:00050202,0.0% (0/93),0.01% (1/11801),1,1,1
adult ALv1 lineage clone,FBbt:00050196,0.0% (0/93),0.04% (5/11801),1,1,1
adult LHl1 lineage neuron,FBbt:00050049,0.0% (0/93),0.01% (1/11801),1,1,1
adult ALad1 lineage clone,FBbt:00050095,1.08% (1/93),0.25% (30/11801),0.216239943,1,1
dopaminergic PAL neuron,FBbt:00100215,0.0% (0/93),0.01% (1/11801),1,1,1
adult ALv1 lineage neuron,FBbt:00050197,0.0% (0/93),0.04% (5/11801),1,1,1
adult LHl1 lineage clone,FBbt:00050048,0.0% (0/93),0.01% (1/11801),1,1,1
small field neuron of the central complex,FBbt:00007514,0.0% (0/93),0.02% (2/11801),1,1,1
adult MBp lineage neuron,FBbt:00110577,0.0% (0/93),0.16% (19/11801),1,1,1
adult DM6 lineage neuron,FBbt:00050144,0.0% (0/93),0.09% (11/11801),1,1,1
adult antennal lobe projection neuron,FBbt:00067123,1.08% (1/93),0.32% (38/11801),0.264080207,1,1
adult EBa1 lineage clone,FBbt:00050137,0.0% (0/93),0.03% (3/11801),1,1,1
adult SMPad2 lineage neuron,FBbt:00050203,0.0% (0/93),0.01% (1/11801),1,1,1
adult brain cell body rind,FBbt:00003625,0.0% (0/93),0.19% (22/11801),1,1,1
adult MBp lineage clone,FBbt:00110576,0.0% (0/93),0.17% (20/11801),1,1,1
adult heart,FBbt:00003154,1.08% (1/93),0.29% (34/11801),0.240532628,1,1
adult specialised Malpighian tubule cell,FBbt:00005733,0.0% (0/93),0.03% (4/11801),1,1,1
adult Malpighian tubule segment,FBbt:00005728,0.0% (0/93),0.03% (4/11801),1,1,1
DN1 neuron,FBbt:00003629,0.0% (0/93),0.01% (1/11801),1,1,1
LNv neuron,FBbt:00004046,0.0% (0/93),0.31% (36/11801),1,1,1
s-LNv neuron,FBbt:00007428,0.0% (0/93),0.08% (10/11801),1,1,1
male abdominal muscle,FBbt:00003505,0.0% (0/93),0.03% (3/11801),1,1,1
integument of adult abdominal segment 1,FBbt:00007286,0.0% (0/93),0.08% (9/11801),1,1,1
abdominal sternite 2,FBbt:00004800,0.0% (0/93),0.02% (2/11801),1,1,1
haltere pedicel,FBbt:00004785,0.0% (0/93),0.01% (1/11801),1,1,1
capitellum,FBbt:00004784,0.0% (0/93),0.01% (1/11801),1,1,1
haltere sensillum,FBbt:00004410,0.0% (0/93),0.02% (2/11801),1,1,1
trochanter,FBbt:00004643,0.0% (0/93),0.02% (2/11801),1,1,1
leg taste bristle,FBbt:00007409,0.0% (0/93),0.02% (2/11801),1,1,1
tibia,FBbt:00004642,1.08% (1/93),0.23% (27/11801),0.197517456,1,1
coxa,FBbt:00004641,0.0% (0/93),0.03% (4/11801),1,1,1
pretarsus,FBbt:00004653,0.0% (0/93),0.34% (40/11801),1,1,1
joint,FBbt:00004645,0.0% (0/93),0.01% (1/11801),1,1,1
wing hair,FBbt:00004340,0.0% (0/93),0.14% (16/11801),1,1,1
wing vein segment,FBbt:00084751,0.0% (0/93),0.09% (11/11801),1,1,1
segment of antenna,FBbt:00007149,1.08% (1/93),1.26% (149/11801),1,1,1
lateral oviduct,FBbt:00004912,0.0% (0/93),0.01% (1/11801),1,1,1
common oviduct,FBbt:00004913,0.0% (0/93),0.01% (1/11801),1,1,1
serotonergic neuron,FBbt:00005133,1.08% (1/93),0.1% (12/11801),0.097059922,1,1
dopaminergic neuron,FBbt:00005131,1.08% (1/93),0.36% (42/11801),0.286905294,1,1
carbon dioxide sensitive neuron,FBbt:00100045,0.0% (0/93),0.03% (4/11801),1,1,1
fruitless expressing neuron,FBbt:00016687,0.0% (0/93),0.03% (4/11801),1,1,1
aminergic neuron,FBbt:00007368,0.0% (0/93),0.05% (6/11801),1,1,1
BAmas2 lineage neuron,FBbt:00100656,0.0% (0/93),0.01% (1/11801),1,1,1
glutamatergic neuron,FBbt:00100291,0.0% (0/93),0.22% (26/11801),1,1,1
neurite,FBbt:00005113,0.0% (0/93),0.12% (14/11801),1,1,1
midline neuron,FBbt:00016016,1.08% (1/93),0.23% (27/11801),0.197517456,1,1
octopaminergic neuron,FBbt:00007364,0.0% (0/93),0.05% (6/11801),1,1,1
pioneer neuron,FBbt:00005128,0.0% (0/93),0.04% (5/11801),1,1,1
pacemaker neuron,FBbt:00006048,0.0% (0/93),0.47% (55/11801),1,1,1
BAmv3 lineage neuron,FBbt:00100654,1.08% (1/93),0.26% (31/11801),0.22238423,1,1
abdominal posterior fascicle neuron,FBbt:00002451,1.08% (1/93),0.42% (49/11801),0.325176299,1,1
BLD4 lineage neuron,FBbt:00100721,0.0% (0/93),0.01% (1/11801),1,1,1
DALv2 lineage neuron,FBbt:00100643,0.0% (0/93),0.03% (3/11801),1,1,1
subesophageal ganglion neuron,FBbt:00001972,1.08% (1/93),0.02% (2/11801),0.023276212,1,1
BAla1 lineage neuron,FBbt:00100636,0.0% (0/93),0.04% (5/11801),1,1,1
prothoracic gland innervating neuron,FBbt:00007458,0.0% (0/93),0.03% (3/11801),1,1,1
motor neuron,FBbt:00005123,6.45% (6/93),1.43% (169/11801),0.002466821,1,1
GABAergic neuron,FBbt:00007228,0.0% (0/93),0.25% (30/11801),1,1,1
optic lobe neuron,FBbt:00003702,1.08% (1/93),0.38% (45/11801),0.303563193,1,1
BAlc1 lineage neuron,FBbt:00100660,0.0% (0/93),0.12% (14/11801),1,1,1
NMJ bouton,FBbt:00005838,1.08% (1/93),0.47% (56/11801),0.361414249,1,1
olfactory receptor neuron,FBbt:00005926,1.08% (1/93),0.51% (60/11801),0.381250217,1,1
eo neuron,FBbt:00005174,1.08% (1/93),0.62% (73/11801),0.441601315,1,1
gustatory receptor neuron,FBbt:00005927,0.0% (0/93),0.08% (10/11801),1,1,1
perineurial sheath,FBbt:00007089,0.0% (0/93),0.05% (6/11801),1,1,1
glial cell of the perineurium,FBbt:00005152,1.08% (1/93),0.45% (53/11801),0.346125658,1,1
subperineurial glial sheath,FBbt:00007091,0.0% (0/93),0.28% (33/11801),1,1,1
nerve root,FBbt:00007602,0.0% (0/93),0.02% (2/11801),1,1,1
cell body rind of the central nervous system,FBbt:00007114,0.0% (0/93),0.34% (40/11801),1,1,1
neuropil glial sheath,FBbt:00007117,0.0% (0/93),0.02% (2/11801),1,1,1
stomatogastric nervous system,FBbt:00005096,0.0% (0/93),0.18% (21/11801),1,1,1
CNS subperineurial glial cell,FBbt:00007605,0.0% (0/93),0.09% (11/11801),1,1,1
surface associated glial cell,FBbt:00001252,0.0% (0/93),0.21% (25/11801),1,1,1
CNS glial cell,FBbt:00001256,0.0% (0/93),1.1% (130/11801),0.628751774,1,1
subesophageal ganglion,FBbt:00004013,0.0% (0/93),0.02% (2/11801),1,1,1
proventricular ganglion,FBbt:00005761,0.0% (0/93),0.02% (2/11801),1,1,1
frontal ganglion,FBbt:00005803,0.0% (0/93),0.03% (3/11801),1,1,1
hypocerebral ganglion,FBbt:00005804,0.0% (0/93),0.05% (6/11801),1,1,1
dorsal pouch,FBbt:00005807,0.0% (0/93),0.07% (8/11801),1,1,1
oenocyte,FBbt:00004995,1.08% (1/93),0.24% (28/11801),0.203806928,1,1
embryonic dorsal epidermis,FBbt:00005744,1.08% (1/93),0.31% (37/11801),0.258261918,1,1
puparium,FBbt:00004987,0.0% (0/93),0.02% (2/11801),1,1,1
cuticle layer,FBbt:00007246,1.08% (1/93),0.52% (61/11801),0.386113204,1,1
ventral metathorax,FBbt:00004624,0.0% (0/93),0.02% (2/11801),1,1,1
dorsal prothorax,FBbt:00004559,0.0% (0/93),0.22% (26/11801),1,1,1
ventral mesothorax,FBbt:00004590,1.08% (1/93),0.33% (39/11801),0.269853345,1,1
ptilinum,FBbt:00004483,0.0% (0/93),0.01% (1/11801),1,1,1
ventral prothorax,FBbt:00004564,0.0% (0/93),0.01% (1/11801),1,1,1
integumentary process,FBbt:00007596,0.0% (0/93),0.34% (40/11801),1,1,1
region of integument defined by pigmentation pattern,FBbt:00007291,1.08% (1/93),0.04% (5/11801),0.046016332,1,1
dorsal metathorax,FBbt:00004621,0.0% (0/93),0.08% (10/11801),1,1,1
hemolymph,FBbt:00005061,0.0% (0/93),0.19% (23/11801),1,1,1
apodeme,FBbt:00005091,0.0% (0/93),0.06% (7/11801),1,1,1
visceral muscle fiber,FBbt:00005075,0.0% (0/93),0.07% (8/11801),1,1,1
hindgut muscle,FBbt:00003537,0.0% (0/93),0.01% (1/11801),1,1,1
copper cell,FBbt:00005782,0.0% (0/93),0.03% (3/11801),1,1,1
midgut interstitial cell,FBbt:00005783,0.0% (0/93),0.02% (2/11801),1,1,1
peritrophic membrane,FBbt:00003142,0.0% (0/93),0.05% (6/11801),1,1,1
esophagus,FBbt:00005381,0.0% (0/93),0.07% (8/11801),1,1,1
adult foregut,FBbt:00003127,0.0% (0/93),0.06% (7/11801),1,1,1
pharynx,FBbt:00005380,1.08% (1/93),0.15% (18/11801),0.138654497,1,1
salivary gland,FBbt:00005382,7.53% (7/93),1.85% (218/11801),0.001885968,1,1
hypopharynx,FBbt:00005751,0.0% (0/93),0.03% (3/11801),1,1,1
rectum,FBbt:00005756,1.08% (1/93),0.1% (12/11801),0.097059922,1,1
adult hindgut,FBbt:00003143,0.0% (0/93),0.08% (9/11801),1,1,1
anal pad,FBbt:00005785,1.08% (1/93),0.08% (9/11801),0.075523649,1,1
embryonic/larval proventriculus,FBbt:00001871,0.0% (0/93),0.02% (2/11801),1,1,1
proventriculus outer layer,FBbt:00005755,0.0% (0/93),0.01% (1/11801),1,1,1
adult proventriculus,FBbt:00003139,1.08% (1/93),0.03% (4/11801),0.038495098,1,1
fusome,FBbt:00004862,0.0% (0/93),0.36% (43/11801),1,1,1
ring canal,FBbt:00005409,1.08% (1/93),0.44% (52/11801),0.340949431,1,1
gonadal somatic stem cell,FBbt:00006010,1.08% (1/93),0.53% (63/11801),0.395726033,1,1
gonadal sheath,FBbt:00004859,0.0% (0/93),0.12% (14/11801),1,1,1
spectrosome,FBbt:00005411,0.0% (0/93),0.08% (9/11801),1,1,1
gamete,FBbt:00005412,1.08% (1/93),1.08% (128/11801),1,1,1
secondary trachea,FBbt:00007471,0.0% (0/93),0.04% (5/11801),1,1,1
tracheole,FBbt:00005047,0.0% (0/93),0.01% (1/11801),1,1,1
primary trachea,FBbt:00007472,3.23% (3/93),1.4% (165/11801),0.144248949,1,1
taenidial fold,FBbt:00005046,0.0% (0/93),0.08% (9/11801),1,1,1
tracheal node,FBbt:00005049,0.0% (0/93),0.1% (12/11801),1,1,1
Malpighian tubule segment,FBbt:00005789,0.0% (0/93),0.07% (8/11801),1,1,1
posterior Malpighian tubule,FBbt:00005787,1.08% (1/93),0.04% (5/11801),0.046016332,1,1
specialised Malpighian tubule cell,FBbt:00005794,0.0% (0/93),0.14% (17/11801),1,1,1
majority die during immature adult stage,FBcv:0002050,0.0% (0/93),0.01% (1/11801),1,1,1
some die during second instar larval stage,FBcv:0002022,0.0% (0/93),0.22% (26/11801),1,1,1
some die during first instar larval stage,FBcv:0002021,0.0% (0/93),0.29% (34/11801),1,1,1
some die during third instar larval stage,FBcv:0002024,0.0% (0/93),0.23% (27/11801),1,1,1
some die during prepupal stage,FBcv:0002040,0.0% (0/93),0.03% (4/11801),1,1,1
some die during pharate adult stage,FBcv:0002038,0.0% (0/93),0.35% (41/11801),1,1,1
neuroblast NB6-4,FBbt:00001399,1.08% (1/93),0.1% (12/11801),0.097059922,1,1
neuroblast NB2-4,FBbt:00001411,0.0% (0/93),0.01% (1/11801),1,1,1
neuroblast NB1-1,FBbt:00001371,0.0% (0/93),0.01% (1/11801),1,1,1
neuroblast NB5-2,FBbt:00001376,0.0% (0/93),0.02% (2/11801),1,1,1
neuroblast NB5-6,FBbt:00001377,0.0% (0/93),0.04% (5/11801),1,1,1
neuroblast NB5-3,FBbt:00001390,0.0% (0/93),0.01% (1/11801),1,1,1
neuroblast NB3-5,FBbt:00001375,0.0% (0/93),0.01% (1/11801),1,1,1
midline primordium,FBbt:00005528,0.0% (0/93),0.02% (2/11801),1,1,1
dorsal abdominal da,FBbt:00001191,0.0% (0/93),0.01% (1/11801),1,1,1
dorsal histoblast nest abdominal,FBbt:00001791,0.0% (0/93),0.02% (2/11801),1,1,1
spiracular histoblast nest abdominal,FBbt:00001826,0.0% (0/93),0.01% (1/11801),1,1,1
posterior dorsal histoblast nest abdominal,FBbt:00001809,0.0% (0/93),0.02% (2/11801),1,1,1
ventral histoblast nest abdominal,FBbt:00001818,0.0% (0/93),0.01% (1/11801),1,1,1
air sac tracheoblast,FBbt:00007478,0.0% (0/93),0.03% (4/11801),1,1,1
ventral ectoderm derivative,FBbt:00025993,0.0% (0/93),0.04% (5/11801),1,1,1
anterior ectoderm derivative,FBbt:00025991,1.08% (1/93),0.19% (23/11801),0.171864306,1,1
posterior ectoderm derivative,FBbt:00025992,1.08% (1/93),0.1% (12/11801),0.097059922,1,1
anterior endoderm derivative,FBbt:00025996,0.0% (0/93),0.16% (19/11801),1,1,1
posterior endoderm derivative,FBbt:00025995,0.0% (0/93),0.09% (11/11801),1,1,1
supraesophageal embryonic fiber tract founder cluster,FBbt:00001606,0.0% (0/93),0.03% (3/11801),1,1,1
embryonic head epidermis,FBbt:00005741,0.0% (0/93),0.02% (2/11801),1,1,1
embryonic ventral epidermis,FBbt:00005747,0.0% (0/93),0.05% (6/11801),1,1,1
presumptive embryonic salivary gland,FBbt:00005620,0.0% (0/93),0.14% (16/11801),1,1,1
embryonic ventral neuromere,FBbt:00001087,0.0% (0/93),0.05% (6/11801),1,1,1
embryonic subesophageal neuromere,FBbt:00001083,0.0% (0/93),0.01% (1/11801),1,1,1
embryonic central brain,FBbt:00005662,0.0% (0/93),0.13% (15/11801),1,1,1
dorsal thoracic disc anterior compartment,FBbt:00008125,1.08% (1/93),0.09% (11/11801),0.08993689,1,1
imaginal disc epithelial cell,FBbt:00007108,1.08% (1/93),0.08% (10/11801),0.082758275,1,1
eye disc posterior to the morphogenetic furrow,FBbt:00007143,1.08% (1/93),0.53% (63/11801),0.395726033,1,1
endocuticular specialization,FBbt:00100290,1.08% (1/93),0.38% (45/11801),0.303563193,1,1
antennal sense organ,FBbt:00005806,1.08% (1/93),0.44% (52/11801),0.340949431,1,1
intercalary segment sense organ,FBbt:00002664,0.0% (0/93),0.02% (2/11801),1,1,1
tritocerebrum,FBbt:00003999,0.0% (0/93),0.14% (17/11801),1,1,1
mesothoracic cleft,FBbt:00004605,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal lateral multidendritic neuron,FBbt:00007501,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal dorsal multidendritic neuron,FBbt:00007500,0.0% (0/93),0.36% (43/11801),1,1,1
embryonic/larval optic lobe,FBbt:00001930,0.0% (0/93),0.56% (66/11801),1,1,1
embryonic/larval mushroom body,FBbt:00011929,1.08% (1/93),0.08% (9/11801),0.075523649,1,1
A1-7 VL3/4 motor neuron,FBbt:00002215,0.0% (0/93),0.01% (1/11801),1,1,1
A-subperineurial glial cell,FBbt:00001259,0.0% (0/93),0.01% (1/11801),1,1,1
lateral cord,FBbt:00005672,0.0% (0/93),0.01% (1/11801),1,1,1
intersegmental nerve root,FBbt:00007604,0.0% (0/93),0.02% (2/11801),1,1,1
ventral VUM motor neuron,FBbt:00110297,0.0% (0/93),0.03% (3/11801),1,1,1
dorsal VUM motor neuron,FBbt:00110295,0.0% (0/93),0.03% (3/11801),1,1,1
lateral VUM motor neuron,FBbt:00110308,0.0% (0/93),0.03% (3/11801),1,1,1
acute muscle,FBbt:00000474,2.15% (2/93),0.62% (73/11801),0.116482892,1,1
segment border muscle,FBbt:00000483,0.0% (0/93),0.08% (10/11801),1,1,1
mouthpart muscle,FBbt:00000496,0.0% (0/93),0.04% (5/11801),1,1,1
transverse muscle,FBbt:00000470,2.15% (2/93),0.42% (49/11801),0.060237916,1,1
hypodermal muscle of head,FBbt:00000486,0.0% (0/93),0.09% (11/11801),1,1,1
hypodermal muscle of prothorax,FBbt:00000495,0.0% (0/93),0.08% (9/11801),1,1,1
oblique muscle,FBbt:00000466,0.0% (0/93),0.53% (63/11801),1,1,1
longitudinal muscle,FBbt:00000480,2.15% (2/93),0.83% (98/11801),0.184064601,1,1
intersegmental muscle,FBbt:00000478,0.0% (0/93),0.14% (17/11801),1,1,1
mesothoracic tergum primordium,FBbt:00006032,0.0% (0/93),0.01% (1/11801),1,1,1
wing pouch,FBbt:00006029,0.0% (0/93),0.06% (7/11801),1,1,1
mid embryonic/larval midgut,FBbt:00001884,0.0% (0/93),0.03% (4/11801),1,1,1
embryonic/larval rectum,FBbt:00001892,1.08% (1/93),0.05% (6/11801),0.053479361,1,1
embryonic/larval pharynx,FBbt:00001866,0.0% (0/93),0.02% (2/11801),1,1,1
atrium,FBbt:00005615,0.0% (0/93),0.01% (1/11801),1,1,1
posterior signalling centre of lymph gland primary lobe,FBbt:00100310,0.0% (0/93),0.02% (2/11801),1,1,1
adult midgut region,FBbt:00110888,1.08% (1/93),0.31% (37/11801),0.258261918,1,1
pupal LN period neuron,FBbt:00100185,0.0% (0/93),0.01% (1/11801),1,1,1
pupal pacemaker neuron,FBbt:00100165,0.0% (0/93),0.01% (1/11801),1,1,1
cyst cell,FBbt:00004931,0.0% (0/93),0.03% (3/11801),1,1,1
germinal proliferation center hub,FBbt:00007141,1.08% (1/93),0.29% (34/11801),0.240532628,1,1
spermatogonial cyst,FBbt:00007138,0.0% (0/93),0.46% (54/11801),1,1,1
spermatid cyst,FBbt:00005287,0.0% (0/93),1.77% (209/11801),0.415316329,1,1
spermatocyte cyst,FBbt:00005258,0.0% (0/93),1.31% (155/11801),0.636317929,1,1
mesothoracic pleurum,FBbt:00004591,0.0% (0/93),0.27% (32/11801),1,1,1
epimeron,FBbt:00004556,0.0% (0/93),0.01% (1/11801),1,1,1
episternum,FBbt:00004554,0.0% (0/93),0.27% (32/11801),1,1,1
prothoracic pleurum,FBbt:00004565,0.0% (0/93),0.01% (1/11801),1,1,1
prothoracic tergum,FBbt:00004560,0.0% (0/93),0.03% (4/11801),1,1,1
metathoracic tergum,FBbt:00004622,0.0% (0/93),0.06% (7/11801),1,1,1
orbital bristle,FBbt:00004116,0.0% (0/93),0.08% (9/11801),1,1,1
occiput,FBbt:00004492,0.0% (0/93),0.03% (4/11801),1,1,1
vertical bristle,FBbt:00004121,0.0% (0/93),0.14% (17/11801),1,1,1
gena,FBbt:00004491,0.0% (0/93),0.19% (23/11801),1,1,1
postgena,FBbt:00004496,0.0% (0/93),0.01% (1/11801),1,1,1
frons,FBbt:00004488,1.08% (1/93),0.63% (74/11801),0.445994807,1,1
proboscis,FBbt:00004535,0.0% (0/93),0.71% (84/11801),1,1,1
male analia,FBbt:00004825,0.0% (0/93),0.14% (16/11801),1,1,1
female analia,FBbt:00004824,0.0% (0/93),0.08% (9/11801),1,1,1
prothoracic leg sensillum,FBbt:00004252,1.08% (1/93),0.26% (31/11801),0.22238423,1,1
levator muscle,FBbt:00003325,0.0% (0/93),0.03% (3/11801),1,1,1
tergal remotor muscle,FBbt:00003311,0.0% (0/93),0.11% (13/11801),1,1,1
metathoracic leg sensillum,FBbt:00004420,0.0% (0/93),0.09% (11/11801),1,1,1
mesothoracic leg sensillum,FBbt:00004362,1.08% (1/93),0.21% (25/11801),0.184790697,1,1
wing margin bristle,FBbt:00004326,1.08% (1/93),0.14% (17/11801),0.131856132,1,1
lens,FBbt:00004199,0.0% (0/93),0.04% (5/11801),1,1,1
yellow ommatidium,FBbt:02000001,0.0% (0/93),0.07% (8/11801),1,1,1
cone cell,FBbt:00004193,0.0% (0/93),0.02% (2/11801),1,1,1
dorsal margin ommatidium,FBbt:02000000,1.08% (1/93),0.05% (6/11801),0.053479361,1,1
pale ommatidium,FBbt:02000002,0.0% (0/93),0.08% (10/11801),1,1,1
primary pigment cell,FBbt:00004231,0.0% (0/93),0.03% (3/11801),1,1,1
adult neuropil associated glial cell,FBbt:00100502,0.0% (0/93),0.1% (12/11801),1,1,1
adult surface associated glial cell,FBbt:00100500,0.0% (0/93),0.13% (15/11801),1,1,1
retinal pigment granule,FBbt:00007372,0.0% (0/93),0.03% (4/11801),1,1,1
inter-ommatidial cell,FBbt:00007250,1.08% (1/93),0.39% (46/11801),0.309029822,1,1
dorsal rim area,FBbt:00111065,1.08% (1/93),0.05% (6/11801),0.053479361,1,1
adult central complex,FBbt:00003632,0.0% (0/93),0.3% (35/11801),1,1,1
adult mushroom body,FBbt:00003684,1.08% (1/93),0.81% (95/11801),0.530749369,1,1
ring neuron,FBbt:00003649,0.0% (0/93),0.03% (3/11801),1,1,1
ring neuron R,FBbt:00007507,0.0% (0/93),0.02% (2/11801),1,1,1
tritocerebral center,FBbt:00004000,0.0% (0/93),0.03% (3/11801),1,1,1
cell body rind along the midline,FBbt:00111154,0.0% (0/93),0.08% (9/11801),1,1,1
cell body rind of posterior neuropils,FBbt:00111153,0.0% (0/93),0.02% (2/11801),1,1,1
cell body rind of optic lobe,FBbt:00111152,0.0% (0/93),0.09% (11/11801),1,1,1
unilateral intrinsic neuron,FBbt:00003988,0.0% (0/93),0.02% (2/11801),1,1,1
adult heart chamber,FBbt:00003156,0.0% (0/93),0.02% (2/11801),1,1,1
wing sclerite,FBbt:00004732,1.08% (1/93),0.04% (5/11801),0.046016332,1,1
dorsal row,FBbt:00004329,1.08% (1/93),0.29% (34/11801),0.240532628,1,1
double row,FBbt:00004328,0.0% (0/93),0.09% (11/11801),1,1,1
ovarian sheath,FBbt:00004896,0.0% (0/93),0.02% (2/11801),1,1,1
egg chamber,FBbt:00004894,10.75% (10/93),5.15% (608/11801),0.029119805,1,1
serotonergic LP1 neuron,FBbt:00001588,0.0% (0/93),0.01% (1/11801),1,1,1
tyraminergic neuron,FBbt:00100397,0.0% (0/93),0.05% (6/11801),1,1,1
small field neuron,FBbt:00003633,0.0% (0/93),0.02% (2/11801),1,1,1
adult labial interneuron,FBbt:00004037,0.0% (0/93),0.22% (26/11801),1,1,1
large field neuron,FBbt:00003648,0.0% (0/93),0.05% (6/11801),1,1,1
intrinsic neuron,FBbt:00003664,2.15% (2/93),1.16% (137/11801),0.296444273,1,1
columnar neuron,FBbt:00005129,1.08% (1/93),0.36% (43/11801),0.292501261,1,1
dendrite,FBbt:00005110,0.0% (0/93),0.09% (11/11801),1,1,1
thermosensory system neuron,FBbt:00007694,0.0% (0/93),0.03% (3/11801),1,1,1
mechanosensory system neuron,FBbt:00007698,0.0% (0/93),0.67% (79/11801),1,1,1
antennal lobe projection neuron adPN,FBbt:00067349,1.08% (1/93),0.25% (30/11801),0.216239943,1,1
antennal lobe projection neuron vPN,FBbt:00067351,0.0% (0/93),0.04% (5/11801),1,1,1
Leucokinin neuron,FBbt:00110031,0.0% (0/93),0.05% (6/11801),1,1,1
Pdf neuron,FBbt:00003761,0.0% (0/93),0.23% (27/11801),1,1,1
type Is motor neuron,FBbt:00007680,0.0% (0/93),0.02% (2/11801),1,1,1
indirect flight muscle motor neuron,FBbt:00004074,1.08% (1/93),0.08% (9/11801),0.075523649,1,1
type II motor neuron,FBbt:00007681,0.0% (0/93),0.05% (6/11801),1,1,1
type Ib motor neuron,FBbt:00007679,0.0% (0/93),0.53% (63/11801),1,1,1
tangential neuron,FBbt:00007579,0.0% (0/93),0.03% (4/11801),1,1,1
antennal lobe projection neuron lPN,FBbt:00067362,0.0% (0/93),0.1% (12/11801),1,1,1
dorsomedial neurosecretory cell,FBbt:00004011,0.0% (0/93),0.05% (6/11801),1,1,1
anteriolateral neurosecretory cell,FBbt:00004010,0.0% (0/93),0.03% (3/11801),1,1,1
endocrine neuron,FBbt:00007436,1.08% (1/93),0.4% (47/11801),0.314453999,1,1
